--DateFormat[dd/mm/yyyy],,,,
CellName,PageInstance,AdjustmentValue,Comment,RowKey
AvAssetTrdingSizeRCD,1,Yes,,
AdvAppro,1,1,,
AvTradingAssetsQ1,1,7890000000,,
AvTradingAssetsQ2,1,1000024000,,
AvTradingAssetsQ3,1,1250000000,,
AvTradingAssetsQ4,1,1260000000,,
AvTrdingAssetSize4Qu,1,Yes,,
CCSpecialtyHoldingCo,1,Yes,,
ClosedEndLoansof,1,16000,,
ExitParRun,1,1,,
FamLoansHFSHFT,1,Yes,,
FamLoansHFSHFTQ1,1,158000000,,
FamLoansHFSHFTQ2,1,159000000,,
Fiduciary1,1,,,
Fiduciary2,1,,,
Fiduciary3,1,,,
InstOwnInsDepInst,1,No,,
PCoftotalloansandleases,1,1000,,
PctloansRTD_PastDue,1,0,,
PctloansRTD_RCC,1,2762000,,
QTLender,1,1,,
RCFAP864A1,1,123000,,
RCFD4088,1,0,,
RCFDA345,1,1,,
RCFDA346,1,1,,
RCFDB569,1,1,,
RCFDB867,1,0,,
RCFDK656,1,1,,
RCFDK659,1,1,,
RCON5597EB,1,8236000,,
RCON5597IN,1,7896000,,
RCON6860,1,0,,
RCON6979,1,1,,
RCON6999,1,0,,
RCONG463,1,1,,
RCONG464,1,0,,
RCONL135,1,0,,
RCONN517,1,,,
RCONN518,1,,,
RCONN519,1,,,
RCONN520,1,,,
RCONN521,1,,,
RCONP752,1,1,,
RIAD4769,1,1,,
RIADA530,1,1,,
RSSD_ID,1,480228,,
Rprtasofdec31st,1,No,,
SAVASSOC,1,0,,
TotalAssetSize,1,45600000000,,
TotalLnResTrbleDebt,1,27618000,,
TotalLnRsTrPastDue,1,0,,
TotalLoansandleases,1,16000,,
CELnsSec14FamRes,1,Yes,,
RCFAH015WORK,1,9663000000,,
RCFD3820WORK,1,3288000,,
RCFD3822WORK,1,3236000,,
RCFDB838WORK,1,271000,,
RCFDB839WORK,1,132000,,
RCFDB840WORK,1,1936000,,
RCFDB841WORK,1,1775000,,
RCFDB842WORK,1,281000,,
RCFDB843WORK,1,232000,,
RCFDB844WORK,1,1036000,,
RCFDB845WORK,1,2775000,,
RCFDB846WORK,1,261000,,
RCFDB847WORK,1,232000,,
RCFDB848WORK,1,2836000,,
RCFDB849WORK,1,775000,,
RCFDB850WORK,1,271000,,
RCFDB851WORK,1,133000,,
RCFDB852WORK,1,1946000,,
RCFDB853WORK,1,1875000,,
RCFDB854WORK,1,272000,,
RCFDB855WORK,1,133000,,
RCFDB856WORK,1,1926000,,
RCFDB857WORK,1,1675000,,
RCFDB858WORK,1,271000,,
RCFDB859WORK,1,133000,,
RCFDB860WORK,1,1937000,,
RCFDB861WORK,1,1776000,,
RCFDC391WORK,1,109000,,
RCFDF643WORK,1,13727000,,
RCFDF644WORK,1,13751000,,
RCFDF645WORK,1,13774000,,
RCFDF646WORK,1,13798000,,
RCFDF647WORK,1,13822000,,
RCFDF648WORK,1,13845000,,
RCFDF651WORK,1,13869000,,
RCFDF652WORK,1,13893000,,
RCFDF653WORK,1,13916000,,
RCFDF654WORK,1,13940000,,
RCFDG418WORK,1,17087000,,
RCFDG419WORK,1,17110000,,
RCFDG420WORK,1,17134000,,
RCFDG421WORK,1,17157000,,
RCFDG422WORK,1,17181000,,
RCFDG423WORK,1,17205000,,
RCFDG424WORK,1,17228000,,
RCFDG425WORK,1,17252000,,
RCFDG426WORK,1,17276000,,
RCFDG427WORK,1,17299000,,
RCFDG428WORK,1,17323000,,
RCFDG429WORK,1,17347000,,
RCFDG430WORK,1,17370000,,
RCFDG431WORK,1,17394000,,
RCFDG432WORK,1,17418000,,
RCFDG433WORK,1,17441000,,
RCFDG434WORK,1,17465000,,
RCFDG435WORK,1,17489000,,
RCFDG436WORK,1,17512000,,
RCFDG437WORK,1,17536000,,
RCFDG438WORK,1,17560000,,
RCFDG439WORK,1,17583000,,
RCFDG440WORK,1,17607000,,
RCFDG441WORK,1,17631000,,
RCFDG442WORK,1,17654000,,
RCFDG443WORK,1,17678000,,
RCFDG444WORK,1,17702000,,
RCFDG445WORK,1,17725000,,
RCFDG446WORK,1,17749000,,
RCFDG447WORK,1,17773000,,
RCFDG448WORK,1,17796000,,
RCFDG449WORK,1,17820000,,
RCFDG450WORK,1,17844000,,
RCFDG451WORK,1,17867000,,
RCFDG452WORK,1,17891000,,
RCFDG453WORK,1,17915000,,
RCFDG454WORK,1,17938000,,
RCFDG455WORK,1,17962000,,
RCFDG456WORK,1,17986000,,
RCFDG457WORK,1,18009000,,
RCFDK098WORK,1,-1327000,,
RCFDK138WORK,1,0,,
RCFDK139WORK,1,0,,
RCFDK140WORK,1,0,,
RCFDK168WORK,1,591000,,
RCFDK203WORK,1,-395000,,
RCFDK204WORK,1,-138000,,
RCFDK274WORK,1,0,,
RCFDK275WORK,1,0,,
RCFDK276WORK,1,0,,
RCFDK277WORK,1,0,,
RCFDK278WORK,1,0,,
RCFDK279WORK,1,0,,
RCFDK280WORK,1,0,,
RCFDK281WORK,1,0,,
RCFDK282WORK,1,0,,
RCFDM708WORK,1,466000,,
RCFDM709WORK,1,48000,,
RCFDM710WORK,1,465000,,
RCFDM711WORK,1,0,,
RCFDM712WORK,1,100000,,
RCFDM713WORK,1,0,,
RCFDM714WORK,1,465000,,
RCFDM715WORK,1,0,,
RCFDM716WORK,1,465000,,
RCFDM717WORK,1,0,,
RCFDM719WORK,1,98000,,
RCFDM720WORK,1,0,,
RCFDM721WORK,1,465000,,
RCFDM722WORK,1,0,,
RCFDM723WORK,1,465000,,
RCFDM724WORK,1,0,,
RCFDM725WORK,1,98000,,
RCFDM726WORK,1,0,,
RCFDM727WORK,1,465000,,
RCFDM728WORK,1,0,,
RCFDM729WORK,1,465000,,
RCFDM730WORK,1,0,,
RCFDM731WORK,1,98000,,
RCFDM732WORK,1,0,,
RCFDM733WORK,1,465000,,
RCFDM734WORK,1,0,,
RCFDM735WORK,1,465000,,
RCFDM736WORK,1,0,,
RCFDM737WORK,1,503000,,
RCFDM738WORK,1,0,,
RCFDM739WORK,1,395000,,
RCFDM740WORK,1,0,,
RCFDM741WORK,1,465000,,
RCFDM742WORK,1,0,,
RCFDM743WORK,1,141000,,
RCFDM744WORK,1,0,,
RCFDM745WORK,1,0,,
RCFW5310WORK,1,38190000,,
RCFWA223WORK,1,1209863000,,
RCONF066WORK,1,41975000,,
RCONF067WORK,1,41998000,,
RCONF068WORK,1,42022000,,
RCONF069WORK,1,42046000,,
RCONF070WORK,1,42069000,,
RCONF071WORK,1,42093000,,
RCONF072WORK,1,42117000,,
RCONF073WORK,1,42140000,,
RCONF231WORK,1,42566000,,
RCONF232WORK,1,42590000,,
RCONF670WORK,1,43867000,,
RCONF671WORK,1,43891000,,
RCONF672WORK,1,43915000,,
RCONF673WORK,1,43938000,,
RCONF674WORK,1,43962000,,
RCONF675WORK,1,43986000,,
RCONF676WORK,1,44009000,,
RCONF677WORK,1,44033000,,
RCONF678WORK,1,44057000,,
RCONF679WORK,1,44080000,,
RCONF680WORK,1,44104000,,
RCONF681WORK,1,44128000,,
RCONG376WORK,1,44270000,,
RCONK130WORK,1,0,,
RCONK131WORK,1,0,,
RCONK132WORK,1,0,,
RCONK166WORK,1,0,,
RCONL190WORK,1,47203000,,
RCONL191WORK,1,47227000,,
RCONL192WORK,1,47251000,,
RIADF184WORK,1,52881000,,
RIADF560WORK,1,53260000,,
RIADG377WORK,1,53307000,,
AsOfDate,1,30/09/2016,,
Director01,1,Director Name01,,
Director02,1,Director Name02,,
Director03,1,Director Name03,,
RCON9999,1,20160930,,
RSSD9017,1,General Manager,,
RSSD9050,1,123456789,,
RSSD9130,1,Los Angeles,,
RSSD9200,1,CA,,
RSSD9220,1,ZC9220,,
RCON9224,1,Federal Reserver,,
TEXT4086,1,lombard.risk2@lombardrisk.com,,
TEXT8902,1,AC-123 / +44 (0) 20 7593 6706 / 1232,,
TEXT9116,1,AC-123 / +7593 67062,,
TEXTC366,1,David Haoyang Li,,
TEXTC367,1,General Manager1,,
TEXTC368,1,lombard.risk3@lombardrisk.com,,
TEXTC369,1,AC-123 / +44 (0) 20 7593 6706 / 1233,,
TEXTC370,1,AC-123 / +7593 67063,,
TEXTC371,1,Daniel Wiliam Liang,,
TEXTC372,1,General Manager2,,
TEXTC373,1,lombard.risk4@lombardrisk.com,,
TEXTC374,1,AC-123 / +44 (0) 20 7593 6706 / 1234,,
TEXTC375,1,AC-123 / +7593 67064,,
TEXTC490,1,Matthew Lee,,
TEXTC491,1,Deputy Manager1,,
TEXTC492,1,lombard.risk1@lombardrisk.com,,
TEXTC493,1,AC-123 / +44 (0) 20 7593 6706 / 1231,,
TEXTC494,1,AC-123 / +7593 67061,,
TEXTC495,1,Joseph Graham,,
TEXTFT42,1,Matthew Lee1,,
TEXTFT43,1,AC-123 / +44 (0) 20 7593 6706 / 1234,,
TEXTFT44,1,lombard.risk2@lombardrisk.com,,
TEXTFT45,1,AC-123 / +44 (0) 20 7593 6706 / 1235,,
TEXTC496,1,Deputy Manager2,,
TEXTC437,1,Primary Contact Name1,,
TEXTC438,1,Deputy Manager3,,
TEXTC439,1,lombard.risk5@lombardrisk.com,,
TEXTC440,1,AC-123 / +44 (0) 20 7593 6706 / 1235,,
TEXTC442,1,Secondary Contact Name1,,
TEXTC443,1,Deputy Manager4,,
TEXTC444,1,lombard.risk6@lombardrisk.com,,
TEXTC445,1,AC-123 / +44 (0) 20 7593 6706 / 1236,,
TEXTC870,1,Third Contact Name1,,
TEXTC871,1,Deputy Manager5,,
TEXTC872,1,lombard.risk7@lombardrisk.com,,
TEXTC873,1,AC-123 / +44 (0) 20 7593 6706 / 1237,,
TEXTC875,1,Fourth Contact Name1,,
TEXTC876,1,Deputy Manager6,,
TEXTC877,1,lombard.risk8@lombardrisk.com,,
TEXTC878,1,AC-123 / +44 (0) 20 7593 6706 / 1238,,
FEDFFIEC031P05DATE,1,1/1/2016--30/9/2016,,
RIAD0093,1,47889000,,
RIAD4010,1,344948000,,
RIAD4012,1,48102000,,
RIAD4020,1,48126000,,
RIAD4024,1,-48150000,,
RIAD4056,1,48197000,,
RIAD4059,1,48221000,,
RIAD4060,1,48244000,,
RIAD4065,1,48268000,,
RIAD4069,1,48292000,,
RIAD4107,1,736319000,,
RIAD4115,1,48386000,,
RIAD4172,1,48528000,,
RIAD4180,1,48552000,,
RIAD4185,1,48575000,,
RIAD4435,1,48788000,,
RIAD4436,1,48812000,,
RIAD4508,1,49238000,,
RIAD4518,1,49285000,,
RIADA517,1,50208000,,
RIADA518,1,50231000,,
RIADB485,1,50302000,,
RIADB486,1,50326000,,
RIADB487,1,50350000,,
RIADB488,1,50373000,,
RIADB489,1,50397000,,
RIAD3196,1,47937000,,
RIAD3521,1,47984000,,
RIAD4070,1,0,,
RIAD4073,1,391820000,,
RIAD4074,1,344499000,,
RIAD4079,1,690808000,,
RIAD4080,1,52345000,,
RIAD4092,1,48363000,,
RIAD4093,1,249289000,,
RIAD4135,1,48410000,,
RIAD4200,1,48599000,,
RIAD4217,1,48623000,,
RIAD4230,1,5000,,
RIAD4300,1,833264000,,
RIAD4301,1,881934000,,
RIAD4302,1,48670000,,
