"RULE ID","RULE TYPE","RULE NAME","RULE DESCRIPTION","DATA SCHEDULE","TARGET COLUMN","STATUS","FAILED ROWS"
"PS_ITCE_OS","Cross-Validity","Internal Transactions Reported on Consolidated Reporting Entity. Outflows-Secured.","Transactions reported on the consolidated template are not flagged with the [Internal] field set to true.","OS","","Pass","0"
"PS_ITCE_OW","Cross-Validity","Internal Transactions Reported on Consolidated Reporting Entity. Outflows-Wholesale.","Transactions reported on the consolidated template are not flagged with the [Internal] field set to true.","OW","","Pass","0"
"PS_ITCE_OO","Cross-Validity","Internal Transactions Reported on Consolidated Reporting Entity. Outflows-Other.","Transactions reported on the consolidated template are not flagged with the Internal field set to true.","OO","","Pass","0"
"PS_LOPR_OW","Cross-Validity","Large balances for products in ""Other"" category. Outflows-Wholesale.","Identifies instances where balance in excess of $1bn were reported for products in ""Other"" category.","OW","","Pass","0"
"PS_ITCE_OD","Cross-Validity","Internal Transactions Reported on Consolidated Reporting Entity. Outflows-Deposits.","Transactions reported on the consolidated template are not flagged with the [Internal] field set to true.","OD","","Pass","0"
"RI_RCCR_IO","Intra-Series","The product by definition requires a collateral class designation. Inflows-Other.","Validate Inflows-Other table for products that require the collateral class designation","IO","","Pass","0"
"PS_DURE_IA","Validity","Duplicate Records. Inflows-Assets.","Numeric values (e.g., contractual cash flow amounts, market values, lendable values, etc.) are expected to be aggregated across the unique combinations of all other fields in each FR 2052a table.","IA","","Pass","0"
"PS_LOPR_OS","Cross-Validity","Large balances for products in ""Other"" category. Outflows-Secured.","Identifies instances where balance in excess of $1bn were reported for products in ""Other"" category.","OS","","Pass","0"
"PS_LOCP_SI","Cross-Validity","PS_LOCP_SI","PS_LOCP_SI","","","Unimplemented","0"
"PS_3PEE_OO_CV","Inter-Series","3rd-Party Reporting Entity Exposures vs Consolidated. Outflows-Deposits. Maturity Value.","Verifies that the sum of the “1st tier” reporting entity 3rd-party exposures match the Consolidated group’s 3rd-party exposures.","OO","","Pass","0"
