--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd),,,,,
CellName,CellTag,PageInstance,AdjustmentValue,Comment,RowKey
F2420AP1KEY,,1,1,,1
F2420AP17333,,1,300,,1
F2420AP19914,,1,31/12/2015,,1
F2420AP1N187,,1,90,,1
F2420AP1N186,,1,US,,1
F2420AP1KEY,,1,2,,2
F2420AP17333,,1,200,,2
F2420AP19914,,1,31/01/2015,,2
F2420AP1N187,,1,100,,2
F2420AP1N186,,1,56,,2
F2420AP1KEY,,1,3,,3
F2420AP17333,,1,4000,,3
F2420AP19914,,1,31/12/2015,,3
F2420AP1N187,,1,4000,,3
F2420AP1N186,,1,2,,3
F2420AP1KEY,,1,4,,4
F2420AP17333,,1,160000,,4
F2420AP19914,,1,31/12/2015,,4
F2420AP1N187,,1,57154,,4
F2420AP1N186,,1,100,,4
F2420AP1KEY,,1,5,,5
F2420AP17333,,1,10000,,5
F2420AP19914,,1,31/12/2014,,5
F2420AP1N187,,1,100000,,5
F2420AP1N186,,1,US,,5
F2420AP1KEY,,1,6,,6
F2420AP17333,,1,600015,,6
F2420AP19914,,1,30/12/2015,,6
F2420AP1N187,,1,500000,,6
F2420AP1N186,,1,US,,6
F2420AP1KEY,,1,7,,7
F2420AP17333,,1,400914,,7
F2420AP19914,,1,31/12/2015,,7
F2420AP1N187,,1,900000,,7
F2420AP1N186,,1,US,,7
