"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"DS02P01","1","0",,
"DS02P02","1","0",,
"DS02P03","1","",,
"DS02P04","1","31/10/2015",,
"DS02P05","1","",,
"DS02P06","1","0",,
"DS02P07","GBP","0",,
"DS02P08","GBP","0",,
"DS02P09","GBP","",,
"DS02P11","GBP","0",,
"DS02P12","GBP","0",,
"DS02P13","GBP","0",,
"DS02P14","GBP","0",,
"DS02P15","GBP","",,
"DS02P17","GBP","0",,
"DS02P18","GBP","0",,
"DS02P19","1","0",,
"DS02P20","1","0",,
"DS02P21","1","0",,
"DS02P22","1","0",,
"DS02P23","1","0",,
"DS02P24","1","0",,
"DS02P25","1","0",,
"DS02P26","1","0",,
"DS02P27","1","0",,
"DS02P28","1","0",,
"DS02P29","1","0",,
"DS02P30","1","0",,
"_PageInstDesc","GBP","GBP",,
