--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd),,,,
CellName,PageInstance,AdjustmentValue,Comment,RowKey
FI2001R010C010,x0,8042,,
FI2001R010C020,x0,0,,
FI2001R020C010,x0,8042,,
FI2001R020C020,x0,0,,
FI2001R030C010,x0,0,,
FI2001R030C020,x0,0,,
FI2001R040C010,x0,0,,
FI2001R040C020,x0,0,,
FI2001R050C010,x0,0,,
FI2001R050C020,x0,0,,
FI2001R060C010,x0,0,,
FI2001R060C020,x0,0,,
FI2001R070C010,x0,0,,
FI2001R070C020,x0,0,,
FI2001R080C010,x0,0,,
FI2001R080C020,x0,0,,
FI2001R090C010,x0,0,,
FI2001R090C020,x0,0,,
FI2001R100C010,x0,0,,
FI2001R100C020,x0,0,,
FI2001R110C010,x0,0,,
FI2001R110C020,x0,0,,
FI2001R120C010,x0,0,,
FI2001R120C020,x0,0,,
FI2001R130C010,x0,0,,
FI2001R130C020,x0,0,,
FI2001R140C010,x0,0,,
FI2001R140C020,x0,0,,
FI2001R150C010,x0,0,,
FI2001R150C020,x0,0,,
FI2001R160C010,x0,0,,
FI2001R160C020,x0,0,,
FI2001R170C010,x0,0,,
FI2001R170C020,x0,0,,
FI2001R180C010,x0,0,,
FI2001R180C020,x0,0,,
FI2001R190C010,x0,0,,
FI2001R190C020,x0,0,,
FI2001R200C010,x0,0,,
FI2001R200C020,x0,0,,
FI2001R210C010,x0,0,,
FI2001R210C020,x0,0,,
FI2001R220C010,x0,0,,
FI2001R220C020,x0,0,,
FI2001R230C010,x0,0,,
FI2001R230C020,x0,0,,
FI2001R240C010,x0,0,,
FI2001R240C020,x0,0,,
FI2001R250C010,x0,0,,
FI2001R250C020,x0,0,,
FI2001R260C010,x0,0,,
FI2001R260C020,x0,0,,
FI2001R270C010,x0,0,,
FI2001R270C020,x0,0,,
FI2001R280C010,x0,0,,
FI2001R280C020,x0,0,,
FI2001R290C010,x0,0,,
FI2001R290C020,x0,0,,
FI2001R300C010,x0,0,,
FI2001R300C020,x0,0,,
FI2001R310C010,x0,0,,
FI2001R310C020,x0,0,,
FI2001R320C010,x0,8042,,
FI2001R320C020,x0,0,,
FI2001R001C010,x0,1/2/2016,,
FI2001R001C020,x0,FI20,,
FI2001R010C010,AF,4021,,
FI2001R010C020,AF,0,,
FI2001R020C010,AF,4021,,
FI2001R020C020,AF,0,,
FI2001R030C010,AF,0,,
FI2001R030C020,AF,0,,
FI2001R040C010,AF,0,,
FI2001R040C020,AF,0,,
FI2001R050C010,AF,0,,
FI2001R050C020,AF,0,,
FI2001R060C010,AF,0,,
FI2001R060C020,AF,0,,
FI2001R070C010,AF,0,,
FI2001R070C020,AF,0,,
FI2001R080C010,AF,0,,
FI2001R080C020,AF,0,,
FI2001R090C010,AF,0,,
FI2001R090C020,AF,0,,
FI2001R100C010,AF,0,,
FI2001R100C020,AF,0,,
FI2001R110C010,AF,0,,
FI2001R110C020,AF,0,,
FI2001R120C010,AF,0,,
FI2001R120C020,AF,0,,
FI2001R130C010,AF,0,,
FI2001R130C020,AF,0,,
FI2001R140C010,AF,0,,
FI2001R140C020,AF,0,,
FI2001R150C010,AF,0,,
FI2001R150C020,AF,0,,
FI2001R160C010,AF,0,,
FI2001R160C020,AF,0,,
FI2001R170C010,AF,0,,
FI2001R170C020,AF,0,,
FI2001R180C010,AF,0,,
FI2001R180C020,AF,0,,
FI2001R190C010,AF,0,,
FI2001R190C020,AF,0,,
FI2001R200C010,AF,0,,
FI2001R200C020,AF,0,,
FI2001R210C010,AF,0,,
FI2001R210C020,AF,0,,
FI2001R220C010,AF,0,,
FI2001R220C020,AF,0,,
FI2001R230C010,AF,0,,
FI2001R230C020,AF,0,,
FI2001R240C010,AF,0,,
FI2001R240C020,AF,0,,
FI2001R250C010,AF,0,,
FI2001R250C020,AF,0,,
FI2001R260C010,AF,0,,
FI2001R260C020,AF,0,,
FI2001R270C010,AF,0,,
FI2001R270C020,AF,0,,
FI2001R280C010,AF,0,,
FI2001R280C020,AF,0,,
