--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd),,,,
CellName,PageInstance,AdjustmentValue,Comment,RowKey
LELMR010,1,56,,
LELMR020,1,22,,
LELMR030,1,-100,,
LEE1C030,4,,,1
LEE1C040,4,,,1
LEE1C050,4,,,1
LEE1C050XBRL,4,,,1
LEE1C060,4,,,1
LEE1C070,4,,,1
LEE1C070XBRL,4,,,1
LEE1C010,4,234,,1
LEE1C020,4,1/2/2016,,1
LEINDEX1,4,1,,1
LEE1C030,4,,,2
LEE1C040,4,,,2
LEE1C050,4,,,2
LEE1C050XBRL,4,,,2
LEE1C060,4,,,2
LEE1C070,4,,,2
LEE1C070XBRL,4,,,2
LEE1C010,4,TR45,,2
LEE1C020,4,2/2/2016,,2
LEINDEX1,4,2,,2
