--DateFormat[dd/MM/yyyy],,,,
CellName,PageInstance,AdjustmentValue,Comment,RowKey
FEDFRY14ASUMP001SOURCE,1,,,
FEDFRY14ASUMP001DESCRIBE,1,,,
FEDFRY14ASUMP001SCNARIO,1,,,
FEDFRY14ASUMP001RSSDID,1,,,
FEDFRY14ASUMP001INSNAME,1,,,
FEDFRY14ASUMP002R0080C0010,1,0,,
FEDFRY14ASUMP002R0070C0130,1,0,,
FEDFRY14ASUMP002R0070C0120,1,0,,
FEDFRY14ASUMP002R0070C0110,1,0,,
FEDFRY14ASUMP002R0070C0100,1,0,,
FEDFRY14ASUMP002R0070C0090,1,0,,
FEDFRY14ASUMP002R0070C0080,1,0,,
FEDFRY14ASUMP002R0070C0070,1,0,,
FEDFRY14ASUMP002R0070C0060,1,0,,
FEDFRY14ASUMP002R0070C0050,1,0,,
FEDFRY14ASUMP002R0070C0040,1,0,,
FEDFRY14ASUMP002R0070C0030,1,0,,
FEDFRY14ASUMP002R0070C0020,1,0,,
FEDFRY14ASUMP002R0070C0010,1,0,,
FEDFRY14ASUMP002R0060C0130,1,0,,
FEDFRY14ASUMP002R0060C0120,1,0,,
FEDFRY14ASUMP002R0060C0110,1,0,,
FEDFRY14ASUMP002R0060C0100,1,0,,
FEDFRY14ASUMP002R0060C0090,1,0,,
FEDFRY14ASUMP002R0060C0080,1,0,,
FEDFRY14ASUMP002R0060C0070,1,0,,
FEDFRY14ASUMP002R0060C0060,1,0,,
FEDFRY14ASUMP002R0060C0050,1,0,,
FEDFRY14ASUMP002R0060C0040,1,0,,
FEDFRY14ASUMP002R0060C0030,1,0,,
FEDFRY14ASUMP002R0060C0020,1,0,,
FEDFRY14ASUMP002R0060C0010,1,0,,
FEDFRY14ASUMP002R0050C0130,1,0,,
FEDFRY14ASUMP002R0050C0120,1,0,,
FEDFRY14ASUMP002R0050C0110,1,0,,
FEDFRY14ASUMP002R0050C0100,1,0,,
FEDFRY14ASUMP002R0050C0090,1,0,,
FEDFRY14ASUMP002R0050C0080,1,0,,
FEDFRY14ASUMP002R0050C0070,1,0,,
FEDFRY14ASUMP002R0050C0060,1,0,,
FEDFRY14ASUMP002R0050C0050,1,0,,
FEDFRY14ASUMP002R0050C0040,1,0,,
FEDFRY14ASUMP002R0050C0030,1,0,,
FEDFRY14ASUMP002R0050C0020,1,0,,
FEDFRY14ASUMP002R0050C0010,1,0,,
FEDFRY14ASUMP002R0040C0130,1,0,,
FEDFRY14ASUMP002R0040C0120,1,0,,
FEDFRY14ASUMP002R0040C0110,1,0,,
FEDFRY14ASUMP002R0040C0100,1,0,,
FEDFRY14ASUMP002R0040C0090,1,0,,
FEDFRY14ASUMP002R0040C0080,1,0,,
FEDFRY14ASUMP002R0040C0070,1,0,,
FEDFRY14ASUMP002R0040C0060,1,0,,
FEDFRY14ASUMP002R0040C0050,1,0,,
FEDFRY14ASUMP002R0040C0040,1,0,,
FEDFRY14ASUMP002R0040C0030,1,0,,
FEDFRY14ASUMP002R0040C0020,1,0,,
FEDFRY14ASUMP002R0040C0010,1,0,,
FEDFRY14ASUMP002R0030C0130,1,0,,
FEDFRY14ASUMP002R0030C0120,1,0,,
FEDFRY14ASUMP002R0030C0110,1,0,,
FEDFRY14ASUMP002R0030C0100,1,0,,
FEDFRY14ASUMP002R0150C0080,1,0,,
FEDFRY14ASUMP002R0150C0070,1,0,,
FEDFRY14ASUMP002R0150C0060,1,0,,
FEDFRY14ASUMP002R0150C0050,1,0,,
FEDFRY14ASUMP002R0150C0040,1,0,,
FEDFRY14ASUMP002R0150C0030,1,0,,
FEDFRY14ASUMP002R0150C0020,1,0,,
FEDFRY14ASUMP002R0150C0010,1,0,,
FEDFRY14ASUMP002R0140C0130,1,0,,
FEDFRY14ASUMP002R0140C0120,1,0,,
FEDFRY14ASUMP002R0140C0110,1,0,,
FEDFRY14ASUMP002R0140C0100,1,0,,
FEDFRY14ASUMP002R0140C0090,1,0,,
FEDFRY14ASUMP002R0140C0080,1,0,,
FEDFRY14ASUMP002R0140C0070,1,0,,
FEDFRY14ASUMP002R0140C0060,1,0,,
FEDFRY14ASUMP002R0140C0050,1,0,,
FEDFRY14ASUMP002R0140C0040,1,0,,
FEDFRY14ASUMP002R0140C0030,1,0,,
FEDFRY14ASUMP002R0140C0020,1,0,,
FEDFRY14ASUMP002R0140C0010,1,0,,
FEDFRY14ASUMP002R0130C0130,1,0,,
FEDFRY14ASUMP002R0130C0120,1,0,,
FEDFRY14ASUMP002R0130C0110,1,0,,
FEDFRY14ASUMP002R0130C0100,1,0,,
FEDFRY14ASUMP002R0130C0090,1,0,,
FEDFRY14ASUMP002R0130C0080,1,0,,
FEDFRY14ASUMP002R0130C0070,1,0,,
FEDFRY14ASUMP002R0130C0060,1,0,,
FEDFRY14ASUMP002R0130C0050,1,0,,
FEDFRY14ASUMP002R0130C0040,1,0,,
FEDFRY14ASUMP002R0130C0030,1,0,,
FEDFRY14ASUMP002R0130C0020,1,0,,
FEDFRY14ASUMP002R0130C0010,1,0,,
FEDFRY14ASUMP002R0120C0130,1,0,,
FEDFRY14ASUMP002R0120C0120,1,0,,
FEDFRY14ASUMP002R0120C0110,1,0,,
FEDFRY14ASUMP002R0120C0100,1,0,,
