--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd),,,,
CellName,PageInstance,AdjustmentValue,Comment,RowKey
FEDFRY14ASUMP072R0030C0030,1,,,
FEDFRY14ASUMP072R0020C0030,1,,,
FEDFRY14ASUMP072R0010C0020,1,100,,
FEDFRY14ASUMP072R0010C0010,1,400,,
FEDFRY14ASUMP073R0020C0010,1,1700,,
FEDFRY14ASUMP079R1180C0010,1,,,
FEDFRY14ASUMP079R1170C0010,1,,,
FEDFRY14ASUMP091R1485C0010,1,,,
FEDFRY14ASUMP091R1630C0010,1,,,
FEDFRY14ASUMP063R0010C0010,1,123,,1
FEDFRY14ASUMP063R0010KEY,1,1,,1
FEDFRY14ASUMP063R0010C0050,1,3000,,1
FEDFRY14ASUMP063R0010C0040,1,200,,1
FEDFRY14ASUMP063R0010C0030,1,300,,1
FEDFRY14ASUMP063R0010C0020,1,400,,1
FEDFRY14ASUMP063R0010C0010,1,GGG,,2
FEDFRY14ASUMP063R0010KEY,1,2,,2
FEDFRY14ASUMP063R0010C0050,1,3000,,2
FEDFRY14ASUMP063R0010C0040,1,400,,2
FEDFRY14ASUMP063R0010C0030,1,500,,2
FEDFRY14ASUMP063R0010C0020,1,350,,2
FEDFRY14ASUMP063R0010C0010,1,HHH,,3
FEDFRY14ASUMP063R0010KEY,1,3,,3
FEDFRY14ASUMP063R0010C0050,1,400,,3
FEDFRY14ASUMP063R0010C0040,1,300,,3
FEDFRY14ASUMP063R0010C0030,1,400,,3
FEDFRY14ASUMP063R0010C0020,1,500,,3
FEDFRY14ASUMP063R0010C0010,1,ZZZ,,4
FEDFRY14ASUMP063R0010KEY,1,4,,4
FEDFRY14ASUMP063R0010C0050,1,5000,,4
FEDFRY14ASUMP063R0010C0040,1,250,,4
FEDFRY14ASUMP063R0010C0030,1,200,,4
FEDFRY14ASUMP063R0010C0020,1,-600,,4
