"Condition:STBDrillRef LQ 524.0"
"EntityId","MAS_CLIENT_ACCAMNT","MAS_CLIENT_ACCNO","MAS_CLIENT_AGG","MAS_CLIENT_AMCOST","MAS_CLIENT_AMOUNT","MAS_CLIENT_AMOUNT2","MAS_CLIENT_BEHAMT","STBBRANCH","STBDrillAlias","STBDrillRef","STBDrillTable","STBFIELDtest","STBFORM","STBGROUP","STBIMPDATE","STBIMPINDEX","STBITEM","STBInstance","STBMAPID","S_GuarCustomerID","S_IssuedStartDate","S_Issuer","S_MAS_ACF","S_MAS_Audit","S_MAS_CFEXC","S_MAS_Contingent"
"2","","","","","87654000.0000000000","","","","STB Data MAS","2","T_AMRACF_301012_AMR2011W_MAS","MAS_CLIENT_AMOUNT","AMR2011W","0011","27/11/2015","1","AMR2BWP7R13C2","1","21104","","","","","","",""
"","10000.0000","","","","42000.0000000000","","","0011","STB Data MAS","523","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","523","AMR2BWP1R1C1","1","","","","","","","",""
"","10000.0000","","","","43000.0000000000","","","0011","STB Data MAS","524","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","524","AMR2BWP1R3C1","1","","","","","","","",""
"","10000.0000","","","","20000.0000000000","","","0011","STB Data MAS","501","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","501","AMR2BWP1R10C1","1","","","","","","","",""
"","10000.0000","","","","21000.0000000000","","","0011","STB Data MAS","502","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","502","AMR2BWP1R10C1","1","","","","","","","",""
"","10000.0000","","","","22000.0000000000","","","0011","STB Data MAS","503","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","503","AMR2BWP1R10C1","1","","","","","","","",""
"","10000.0000","","","","23000.0000000000","","","0011","STB Data MAS","504","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","504","AMR2BWP1R10C1","1","","","","","","","",""
"","10000.0000","","","","33667.2000000000","","","0011","STB Data MAS","505","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","505","AMR2BWP1R11C1","1","","","","","","","",""
"","10000.0000","","","","35070.0000000000","","","0011","STB Data MAS","506","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","506","AMR2BWP1R11C1","1","","","","","","","",""
"","10000.0000","","","","36472.8000000000","","","0011","STB Data MAS","507","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","507","AMR2BWP1R11C1","1","","","","","","","",""
"","10000.0000","","","","37875.6000000000","","","0011","STB Data MAS","508","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","508","AMR2BWP1R11C1","1","","","","","","","",""
"","10000.0000","","","","28000.0000000000","","","0011","STB Data MAS","509","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","509","AMR2BWP1R12C1","1","","","","","","","",""
"","10000.0000","","","","29000.0000000000","","","0011","STB Data MAS","510","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","510","AMR2BWP1R12C1","1","","","","","","","",""
"","10000.0000","","","","30000.0000000000","","","0011","STB Data MAS","511","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","511","AMR2BWP1R12C1","1","","","","","","","",""
"","10000.0000","","","","31000.0000000000","","","0011","STB Data MAS","512","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","512","AMR2BWP1R12C1","1","","","","","","","",""
"","10000.0000","","","","44889.6000000000","","","0011","STB Data MAS","513","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","513","AMR2BWP1R13C1","1","","","","","","","",""
"","10000.0000","","","","46292.4000000000","","","0011","STB Data MAS","514","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","514","AMR2BWP1R13C1","1","","","","","","","",""
"","10000.0000","","","","47695.2000000000","","","0011","STB Data MAS","515","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","515","AMR2BWP1R13C1","1","","","","","","","",""
"","10000.0000","","","","49098.0000000000","","","0011","STB Data MAS","516","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","516","AMR2BWP1R13C1","1","","","","","","","",""
"","10000.0000","","","","36000.0000000000","","","0011","STB Data MAS","517","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","517","AMR2BWP1R14C1","1","","","","","","","",""
"","10000.0000","","","","37000.0000000000","","","0011","STB Data MAS","518","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","518","AMR2BWP1R14C1","1","","","","","","","",""
"","10000.0000","","","","38000.0000000000","","","0011","STB Data MAS","519","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","519","AMR2BWP1R14C1","1","","","","","","","",""
"","10000.0000","","","","39000.0000000000","","","0011","STB Data MAS","520","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","520","AMR2BWP1R15C1","1","","","","","","","",""
"","10000.0000","","","","40000.0000000000","","","0011","STB Data MAS","521","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","521","AMR2BWP1R15C1","1","","","","","","","",""
"","10000.0000","","","","41000.0000000000","","","0011","STB Data MAS","522","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","522","AMR2BWP1R15C1","1","","","","","","","",""
"","10000.0000","","","","43000.0000000000","","","0011","STB Data MAS","524","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","524","AMR2BWP1R2AC1","1","","","","","","","",""
