"Condition:STBITEM CONTAIN 13C2"
"EntityId","MAS_CLIENT_ACCAMNT","MAS_CLIENT_ACCNO","MAS_CLIENT_AGG","MAS_CLIENT_AMCOST","MAS_CLIENT_AMOUNT","MAS_CLIENT_AMOUNT2","MAS_CLIENT_BEHAMT","STBBRANCH","STBDrillAlias","STBDrillRef","STBDrillTable","STBFIELDtest","STBFORM","STBGROUP","STBIMPDATE","STBIMPINDEX","STBITEM","STBInstance","STBMAPID","S_GuarCustomerID","S_IssuedStartDate","S_Issuer","S_MAS_ACF","S_MAS_Audit","S_MAS_CFEXC","S_MAS_Contingent"
"2","","","","","87654000.0000000000","","","","STB Data MAS","2","T_AMRACF_301012_AMR2011W_MAS","MAS_CLIENT_AMOUNT","AMR2011W","0011","27/11/2015","1","AMR2BWP7R13C2","1","21104","","","","","","",""
"","10000.0000","","","","91000.0000000000","","","0011","STB Data MAS","606","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","606","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","90000.0000000000","","","0011","STB Data MAS","607","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","607","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","89000.0000000000","","","0011","STB Data MAS","608","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","608","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","88000.0000000000","","","0011","STB Data MAS","609","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","609","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","87000.0000000000","","","0011","STB Data MAS","610","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","610","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","86000.0000000000","","","0011","STB Data MAS","611","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","611","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","85000.0000000000","","","0011","STB Data MAS","612","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","612","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","84000.0000000000","","","0011","STB Data MAS","613","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","613","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","83000.0000000000","","","0011","STB Data MAS","614","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","15/07/2015","614","AMR2BWP9R13C2","1","","","","","","","",""
"","10000.0000","","","","60000.0000000000","","","0011","STB Data MAS","910","T_MASDATA_301012_MASREG_INT","MAS_CLIENT_AMOUNT","AMR2011W","0011","16/07/2015","910","AMR2BWP9R13C2","1","","","","","","","",""
