"Condition:STBIMPDATE GQ 2015-07-14 00:00:00 and STBIMPDATE LQ 2015-07-16 23:59:59"
"STBBRANCH","STBDrillAlias","STBDrillRef","STBDrillTable","STBFIELD","STBFORM","STBIMPDATE","STBIMPINDEX","STBITEM","STBMAPID","STBSTATUS"
"0012","STB Data MAS","56","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","56","","","A"
"0012","STB Data MAS","56","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","56","","","A"
"0012","STB Data MAS","57","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","57","","","A"
"0012","STB Data MAS","57","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","57","","","A"
"0012","STB Data MAS","58","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","58","","","A"
"0012","STB Data MAS","58","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","58","","","A"
"0012","STB Data MAS","59","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","59","","","A"
"0012","STB Data MAS","59","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","59","","","A"
"0012","STB Data MAS","183","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","183","","","A"
"0012","STB Data MAS","183","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","183","","","A"
"0012","STB Data MAS","184","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","184","","","A"
"0012","STB Data MAS","184","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","184","","","A"
"0011","STB Data MAS","556","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","556","","","A"
"0011","STB Data MAS","556","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","556","","","A"
"0011","STB Data MAS","557","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","557","","","A"
"0011","STB Data MAS","557","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","557","","","A"
"0011","STB Data MAS","558","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","558","","","A"
"0011","STB Data MAS","558","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","558","","","A"
"0011","STB Data MAS","559","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","559","","","A"
"0011","STB Data MAS","559","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","559","","","A"
"0011","STB Data MAS","683","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","683","","","A"
"0011","STB Data MAS","683","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","683","","","A"
"0011","STB Data MAS","684","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","684","","","A"
"0011","STB Data MAS","684","T_MASDATA_301012_MASREG_INT","","AMR2011","15/07/2015","684","","","A"
