STBIMPINDEX,STBIMPDATE,STBMAPID,STBSTATUS,STBGROUP,STBFORM,STBPAGE,STBITEM,STBFIELD,S_Amount,HKRTN,STBDrillAlias,STBDrillTable,STBDrillRef,STBBRANCH,S_TAVA_Ref
8453,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",127613.522322,"","","",150288,"","Part4-A1R10"
8498,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150333,"","Part4-A1R11"
8453,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",127613.522322,"","","",150288,"","Part4-A1R10"
8452,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",127736.939655,"","","",150287,"","Part4-A1R10"
8498,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150333,"","Part4-A1R11"
8452,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",127736.939655,"","","",150287,"","Part4-A1R10"
12319,11/9/2016 4:45:10 PM,9164,"A","0001","S","","SP10C9A","S_Amount",10374695.5049127,"","","",32092,"","885"
8497,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",0,"","","",150332,"","Part4-A1R11"
8266,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150101,"","P1A-2"
8497,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",0,"","","",150332,"","Part4-A1R11"
8214,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",566000,"","","",150049,"","P1A-1"
8209,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",896500,"","","",150044,"","P1A-1"
8228,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",4311300,"","","",150063,"","P1A-2"
8271,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",54567000,"","","",150106,"","P1A-2"
8235,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",6510600,"","","",150070,"","P1A-2"
8271,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",54567000,"","","",150106,"","P1A-2"
8276,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",5646500,"","","",150111,"","P1A-2"
8438,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",129464.782317,"","","",150273,"","Part4-A1R8"
8222,11/9/2016 4:44:54 PM,9144,"A","0001","S","","SP10C9A","S_Amount",875200,"","","",150057,"","P1A-1"
8187,11/9/2016 4:44:54 PM,9144,"A","0015","S","","SP10C9A","S_Amount",788700,"","","",150022,"","P1A-1"
