"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"CRGB01COUNTRY","x0","X0",,
"CRGB01R010C010","x0","1899.00078",,
"CRGB01R010C020","x0","1966.5",,
"CRGB01R010C040","x0","3909",,
"CRGB01R010C050","x0","4599",,
"CRGB01R010C055","x0","1725",,
"CRGB01R010C060","x0","5289",,
"CRGB01R010C070","x0","5979",,
"CRGB01R010C075","x0","193.5",,
"CRGB01R010C080","x0","915",,
"CRGB01R010C090","x0","1156.5",,
"CRGB01R020C010","x0","1959.0007815",,
"CRGB01R020C020","x0","2011.5",,
"CRGB01R020C040","x0","3954",,
"CRGB01R020C050","x0","4644",,
"CRGB01R020C055","x0","3795",,
"CRGB01R020C060","x0","5334",,
"CRGB01R020C070","x0","6024",,
"CRGB01R020C075","x0","198",,
"CRGB01R020C080","x0","915",,
"CRGB01R020C090","x0","1161",,
"CRGB01R030C010","x0","2019.0006675",,
"CRGB01R030C020","x0","1621.5",,
"CRGB01R030C040","x0","3999",,
"CRGB01R030C050","x0","4689",,
"CRGB01R030C055","x0","5662.5",,
"CRGB01R030C060","x0","5379",,
"CRGB01R030C070","x0","6069",,
"CRGB01R030C075","x0","202.5",,
"CRGB01R030C080","x0","915",,
"CRGB01R030C090","x0","1165.5",,
"CRGB01R040C010","x0","2079",,
"CRGB01R040C020","x0","1651.5",,
"CRGB01R040C040","x0","4044",,
"CRGB01R040C050","x0","4734",,
"CRGB01R040C055","x0","7290",,
"CRGB01R040C060","x0","5424",,
"CRGB01R040C070","x0","6114",,
"CRGB01R040C075","x0","207",,
"CRGB01R040C080","x0","915",,
"CRGB01R040C090","x0","1170",,
"CRGB01R050C010","x0","2139",,
"CRGB01R050C020","x0","1681.5",,
"CRGB01R050C040","x0","4089",,
"CRGB01R050C050","x0","4779",,
"CRGB01R050C055","x0","7770",,
"CRGB01R050C060","x0","5469",,
"CRGB01R050C070","x0","6159",,
"CRGB01R050C075","x0","211.5",,
"CRGB01R050C080","x0","915",,
"CRGB01R050C090","x0","1174.5",,
"CRGB01R060C010","x0","1366.5",,
"CRGB01R060C020","x0","1726.5",,
"CRGB01R060C040","x0","4149",,
"CRGB01R060C050","x0","4839",,
"CRGB01R060C055","x0","3697.5",,
"CRGB01R060C060","x0","5529",,
"CRGB01R060C070","x0","6219",,
"CRGB01R060C075","x0","216",,
"CRGB01R060C080","x0","915",,
"CRGB01R060C090","x0","1179",,
"CRGB01R070C010","x0","1411.5",,
"CRGB01R070C020","x0","1756.5",,
"CRGB01R070C040","x0","4194",,
"CRGB01R070C050","x0","4884",,
"CRGB01R070C055","x0","8700",,
"CRGB01R070C060","x0","5574",,
"CRGB01R070C070","x0","6264",,
"CRGB01R070C075","x0","220.5",,
"CRGB01R070C080","x0","915",,
"CRGB01R070C090","x0","630",,
"CRGB01R075C010","x0","409.5",,
"CRGB01R075C020","x0","414",,
"CRGB01R075C040","x0","418.5",,
"CRGB01R075C050","x0","423",,
"CRGB01R075C055","x0","427.5",,
"CRGB01R075C060","x0","432",,
"CRGB01R075C070","x0","436.5",,
"CRGB01R075C075","x0","225",,
"CRGB01R075C080","x0","441",,
"CRGB01R075C090","x0","445.5",,
"CRGB01R080C010","x0","1456.5",,
"CRGB01R080C020","x0","1786.5",,
"CRGB01R080C040","x0","4239",,
"CRGB01R080C050","x0","4929",,
"CRGB01R080C055","x0","9195",,
"CRGB01R080C060","x0","5619",,
"CRGB01R080C070","x0","6309",,
"CRGB01R080C075","x0","229.5",,
"CRGB01R080C080","x0","915",,
"CRGB01R080C090","x0","634.5",,
"CRGB01R085C010","x0","531",,
"CRGB01R085C020","x0","535.5",,
"CRGB01R085C040","x0","540",,
"CRGB01R085C050","x0","544.5",,
"CRGB01R085C055","x0","549",,
"CRGB01R085C060","x0","553.5",,
"CRGB01R085C070","x0","558",,
"CRGB01R085C075","x0","234",,
"CRGB01R085C080","x0","562.5",,
"CRGB01R085C090","x0","1206",,
"CRGB01R090C010","x0","1501.5",,
"CRGB01R090C020","x0","1816.5",,
"CRGB01R090C040","x0","4284",,
"CRGB01R090C050","x0","4974",,
"CRGB01R090C055","x0","9705",,
"CRGB01R090C060","x0","5664",,
"CRGB01R090C070","x0","6354",,
"CRGB01R090C075","x0","238.5",,
"CRGB01R090C080","x0","915",,
