--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd),,,,
CellName,PageInstance,AdjustmentValue,Comment,RowKey
AUTHOFF,1,TEST,,
YYYY,1,2015,,
VALTOLERANCE,1,0,,
UCA2,1,580,,
UCA1,1,579,,
UC5,1,584,,
UC4,1,583,,
UC3,1,582,,
UC2,1,581,,
UC1BMH,1,566,,
UC1BMG,1,565,,
UC1BMF,1,564,,
UC1BME,1,563,,
UC1BMD,1,562,,
UC1BM,1,0,,
UC1BLH,1,542,,
UC1BLG,1,541,,
UC1BLF,1,540,,
UC1BLE,1,539,,
UC1BLD,1,538,,
UC1BL,1,0,,
UC1BEH,1,518,,
UC1BEG,1,517,,
UC1BEF,1,516,,
UC1BEE,1,515,,
UC1BED,1,514,,
UC1BE,1,0,,
UC1BDH,1,494,,
UC1BDG,1,493,,
UC1BDF,1,492,,
UC1BDE,1,491,,
UC1BDD,1,490,,
UC1BD,1,0,,
UC1BBH,1,466,,
UC1BBG,1,465,,
UC1BBF,1,464,,
UC1BBE,1,463,,
UC1BBD,1,462,,
UC1BB,1,0,,
UC1BAH,1,437,,
UC1BAG,1,436,,
UC1BAF,1,435,,
UC1BAE,1,434,,
UC1BAD,1,432,,
UC1BA,1,0,,
UC1AMC,1,561,,
UC1AMB,1,0,,
UC1AMA,1,0,,
UC1AM,1,0,,
UC1ALC,1,537,,
UC1ALB,1,0,,
UC1ALA,1,0,,
UC1AL,1,0,,
UC1AEC,1,513,,
UC1AEB,1,0,,
UC1AEA,1,0,,
UC1AE,1,0,,
UC1ADC,1,489,,
UC1ADB,1,0,,
UC1ADA,1,0,,
UC1AD,1,0,,
UC1ABC,1,461,,
UC1ABB,1,919,,
UC1ABA,1,0,,
UC1AB,1,0,,
UC1AAC,1,431,,
UC1AAB,1,430,,
UC1AAA,1,429,,
UC1AA,1,0,,
UC1,1,0,,
TOTA2,1,0,,
TOTA1,1,0,,
TOT5,1,0,,
TOT4,1,0,,
TOT3,1,0,,
TOT2,1,0,,
