"--DateFormat[dd/mm/yyyy](dd/mm/yyyy|mm/dd/yyyy|yyyy-mm-dd)"
"CellName","CellTag","PageInstance","AdjustmentValue","Comment","RowKey"
"BHCAP864A1","","1","0",,
"TotalAssets","","1","0",,
"GFUINS","","1","",,
"ExitParRun","","1","",,
"AdvAppro","","1","",,
"REINCLUDE","","1","",,
"BHTX8901","","1","",,
"BHTX4086","","1","",,
"BHCKC490","","1","",,
"ASOFDATE","","1","",,
"TEXT9220","","1","",,
"TEXT9200","","1","",,
"TEXT9130","","1","",,
"TEXT9110","","1","",,
"TEXT9010","","1","",,
"BHTXJ196","","1","",,
"BHTX9116","","1","",,
"BHTX8902","","1","",,
"BHCK4107","Derived","1","0",,
"BHCK4115","","1","0",,
"BHCK4172","","1","0",,
"BHCK4180","","1","0",,
"BHCK4185","","1","0",,
"BHCK4230","Derived","1","0",,
"BHCK4397","","1","0",,
"BHCK4398","","1","0",,
"BHCK4435","","1","0",,
"BHCK4436","","1","0",,
"BHCK4483","","1","0",,
"BHCK4518","","1","0",,
"BHCK6761","","1","0",,
"BHCK4020","","1","0",,
"BHCK4059","","1","0",,
"BHCK4060","","1","0",,
"BHCK4065","","1","0",,
"BHCK4069","","1","0",,
"BHCK4070","","1","0",,
"BHCK4073","Derived","1","0",,
"BHCK4074","Derived","1","0",,
"BHCKF821","","1","0",,
"BHCKC386","","1","0",,
"BHCKC387","","1","0",,
"BHCKC886","","1","0",,
"BHCKC887","","1","0",,
"BHCKC888","","1","0",,
"BHCKB488","","1","0",,
"BHCKB489","","1","0",,
"BHCKB491","","1","0",,
"BHCKB492","","1","0",,
"BHCKB493","","1","0",,
"BHCKA220","Derived","1","0",,
"BHCKA517","","1","0",,
"BHCKA518","","1","0",,
"BHCK4079","Derived","1","0",,
"BHCK4092","","1","0",,
"BHCK4093","Derived","1","0",,
"BHCK4135","","1","0",,
"BHCK4150","","1","0",,
"BHCK4217","","1","0",,
"BHCK4300","Derived","1","13580",,
"BHCK4301","Derived","1","13580",,
"BHCK4302","","1","0",,
"BHCK4313","","1","0",,
"BHCK4320","","1","0",,
"BHCK4340","Derived","1","13580",,
"BHCK4507","","1","0",,
"BHCK4519","","1","0",,
"BHCK4592","","1","0",,
"BHCK8560","","1","0",,
"BHCK8561","","1","0",,
"BHCK3521","","1","1230",,
"BHCK4042","","1","0",,
"BHCK3196","","1","12350",,
"BHCKC013","","1","0",,
"BHCKC014","","1","0",,
"BHCKC015","","1","0",,
"BHCKC016","","1","0",,
"BHCKC216","","1","0",,
"BHCKG103","","1","0",,
"BHCKG104","Derived","1","13580",,
"BHCKF229","","1","0",,
"BHCKC232","","1","0",,
"BHCKB496","","1","0",,
"BHCKB497","","1","0",,
"BHCK4136","","1","0",,
"BHCK4141","","1","0",,
"BHCK4146","","1","0",,
"BHCK8403","","1","0",,
"BHCK8562","","1","0",,
"BHCK8563","","1","0",,
"BHCK8564","","1","0",,
"BHCK8565","","1","0",,
"BHCK8566","","1","0",,
"BHCK8567","","1","0",,
"BHCK0497","","1","0",,
"BHCK3571","","1","0",,
"BHCK3572","","1","0",,
"BHCK3573","","1","0",,
"BHCK3574","","1","0",,
"BHCK3575","","1","0",,
"BHCK3576","","1","0",,
"BHCKC017","","1","0",,
"BHCKC018","","1","0",,
"BHCKF555","","1","0",,
"BHCKF556","","1","0",,
"BHCKF557","","1","0",,
"BHCKF558","","1","0",,
"BHCKF559","","1","0",,
"BHCK8757","","1","0",,
"BHCK8758","","1","0",,
"BHCK8759","","1","0",,
"BHCK8760","","1","0",,
"BHCKF186","","1","0",,
"BHCKJ447","","1","0",,
"TEXT3571","","1","",,
"TEXT3573","","1","",,
"TEXT3575","","1","",,
"TEXT8562","","1","",,
"TEXT8563","","1","",,
"TEXT8564","","1","",,
"TEXT8565","","1","",,
"TEXT8566","","1","",,
"TEXT8567","","1","",,
"BHCK8431","","1","0",,
"BHCKB983","","1","0",,
"BHCKF228","","1","0",,
"BHCKF551","","1","0",,
"BHCKF552","","1","0",,
"BHCKF553","","1","0",,
"BHCKF554","","1","0",,
"BHCKC242","","1","0",,
"BHCKC243","","1","0",,
"BHCKC409","","1","0",,
"BHCKC889","","1","0",,
"BHCKC890","","1","0",,
"BHCKA251","","1","0",,
"BHCKA530","","1","",,
"BHCKJ319","","1","0",,
"BHCKJ320","","1","0",,
"BHCKJ321","Derived","1","0",,
"BHCKK090","","1","0",,
"BHCKK094","","1","0",,
"BHCK4356","","TOTAL","0",,
"BHCK4460","","TOTAL","0",,
"BHCK4591","","TOTAL","0",,
"BHCK4598","","TOTAL","0",,
"BHCK4782","","TOTAL","0",,
"BHCK4783","","TOTAL","0",,
"BHCK3577","","TOTAL","0",,
"BHCK3578","","TOTAL","0",,
"BHCK3579","","TOTAL","0",,
"BHCK3580","","TOTAL","0",,
"BHCK3581","","TOTAL","0",,
"BHCK3217","","TOTAL","0",,
"BHCKB507","","TOTAL","0",,
"BHCKB508","Derived","TOTAL","0",,
"BHCKB511","","TOTAL","0",,
"BHCT3210","Derived","TOTAL","13580",,
"BHCT4340","Derived","TOTAL","13580",,
"BHCK4605","Derived","1","0",,
"BHCK4617","","1","0",,
"BHCK4618","","1","0",,
"BHCK4627","","1","0",,
"BHCK4628","","1","0",,
"BHCK4635","Derived","1","0",,
"BHCK4643","","1","0",,
"BHCK4644","","1","0",,
"BHCK4645","","1","0",,
"BHCK4646","","1","0",,
"BHCK4653","","1","0",,
"BHCK4654","","1","0",,
"BHCK4655","","1","0",,
"BHCK4663","","1","0",,
"BHCK4664","","1","0",,
"BHCK4665","","1","0",,
"BHCK5411","","1","0",,
"BHCK5412","","1","0",,
"BHCK3584","","1","0",,
"BHCK3585","","1","0",,
"BHCK3588","","1","0",,
"BHCK3589","","1","0",,
"BHCKC217","","1","0",,
"BHCKC218","","1","0",,
"BHCKC234","","1","0",,
"BHCKC235","","1","0",,
"BHCKC880","","1","0",,
"BHCKC891","","1","0",,
