"Condition:"
"Eop_Bal_Rcy","Customer_Code","Drill_Ref","Drill_Table","Calendar_Date","D_USED_DATE","Eop_Bal_Rcy","Rep_Line_Cd","Run_Skey","Scenario_Cd","N_USED_1","N_USED_2","Org_Structure_Entity_Code","Par_Entity_Name","V_USED_1"
"3849120000","N2SOR7LV","1","FRY9C","30/09/2014","21/03/2016","3849120000","618000000","100","414","45","440","0001"," Bank USA ",""
"4849120000","7CT9QHKW","158","FRY9C","30/09/2014","21/03/2016","4849120000","629000029","100","414","191","581","0001"," Bank USA ",""
"2983068000","1B2E00LB","145","FRY9C","30/09/2014","21/03/2016","2983068000","629000018","100","414","178","569","0001"," Bank USA ",""
"2983068000","CTBYTQPO","146","FRY9C","30/09/2014","21/03/2016","2983068000","629000018","100","414","179","570","0001"," Bank USA ",""
"1924560000","LUW8YINS","149","FRY9C","30/09/2014","21/03/2016","1924560000","629000020","100","414","182","573","0001"," Bank USA ",""
"1924560000","HTUMUY4G","150","FRY9C","30/09/2014","21/03/2016","1924560000","629000020","100","414","183","574","0001"," Bank USA ",""
"3849120000","12D3BLN3","157","FRY9C","30/09/2014","21/03/2016","3849120000","629000029","100","414","190","580","0001"," Bank USA ",""
"1924560000","TH4J8G7H","17","FRY9C","30/09/2014","21/03/2016","1924560000","629000016","100","414","61","456","0001"," Bank USA ",""
"1924560000","MN90ITCW","18","FRY9C","30/09/2014","21/03/2016","1924560000","629000016","100","414","62","457","0001"," Bank USA ",""
"2886840000","ICDV62SX","187","FRY9C","30/09/2014","21/03/2016","2886840000","629000021","100","414","218","608","0001"," Bank USA ",""
"2886840000","LVD7SFEH","188","FRY9C","30/09/2014","21/03/2016","2886840000","629000021","100","414","219","609","0001"," Bank USA ",""
"3849120000","9CTY2MHM","19","FRY9C","30/09/2014","21/03/2016","3849120000","629000017","100","414","63","458","0001"," Bank USA ",""
"0","QFX7QMBI","203","FRY9C","30/09/2014","21/03/2016","0","710","100","414","231","620","0001"," Bank USA ",""
"3849120000","TTDQFTMD","2","FRY9C","30/09/2014","21/03/2016","3849120000","618000000","100","414","46","441","0001"," Bank USA ",""
"3849120000","GMWUZRYW","20","FRY9C","30/09/2014","21/03/2016","3849120000","629000017","100","414","64","459","0001"," Bank USA ",""
